,PMID,abstract
0,20868729,"Sonic hedgehog (Shh) and Wnt-7a are morphogens involved in embryonic as well as ongoing adult neurogenesis. Their effects on the differentiation and membrane properties of neonatal neural stem/progenitor cells (NS/PCs) were studied in vitro using NS/PCs transduced with either Shh or Wnt-7a. Eight days after the onset of in vitro differentiation the cells were analyzed for the expression of neuronal and glial markers using immunocytochemical and Western blot analysis, and their membrane properties were characterized using the patch-clamp technique. Our results showed that both Shh and Wnt-7a increased the numbers of cells expressing neuronal markers; however, quantitative immunocytochemical analysis showed that only Wnt-7a enhanced the outgrowth and the development of processes in these cells. In addition, Wnt-7a markedly suppressed gliogenesis. The electrophysiological analysis revealed that Wnt-7a increased, while Shh decreased the incidence of cells displaying a neuron-like current pattern, represented by outwardly rectifying K(+) currents and tetrodotoxin-sensitive Na(+) currents. Additionally, Wnt-7a increased cell proliferation only at the early stages of differentiation, while Shh promoted proliferation within the entire course of differentiation. Thus we can conclude that Shh and Wnt-7a interfere differently with the process of neuronal differentiation and that they promote distinct stages of neuronal differentiation in neonatal NS/PCs."
1,12657199,"We report the first application and usefulness of image transfer through a mobile telephone, which can be used between the hospital and another location."
2,19756885,"Cardiac tissue-engineering research is focused on the development of functional three-dimensional (3D) heart muscle in vitro. These models allow the detailed study of critical events in organogenesis, such as the establishment of cell-cell communication and construction and modification of the extracellular matrix. We have previously described a model for 3D heart muscle, termed cardioids, formed by the spontaneous delamination of a cohesive monolayer of primary cells in the absence of any synthetic scaffolding material. In an earlier publication, we have shown that, upon electrical stimulation, cardioids generate a twitch force in the range of 200-300 microN, generate a specific force (twitch force normalized to total cross-sectional area) of 2-4 kN/m(2), and can be electrically paced at frequencies of up to 10 Hz without any notable fatigue. We have two objectives for the current study: model development and model optimization. Our model development efforts are focused on providing additional characterization of the cardioid model. In this study, we show for the first time that cardioids show a pattern of gene expression comparable to that of cells cultured in two dimensions on tissue culture plastic and normal mammalian heart muscle. Compared with primary cardiac cells cultured on tissue culture plastic, the expression of alpha-myosin heavy chain (MHC), beta-MHC, SERCA2, and phospholamban was significantly higher in cardioids. Our second objective, model optimization, is focused on evaluating the effect of several cell culture variables on cardioid formation and function. Specifically, we looked at the effect of plating density (1.0-4.0 x 10(6) cells per cardioid), concentration of two adhesion proteins (laminin at 0.2-2.0 microg/cm(2) and fibronectin at 1-10 microg/cm(2)), myocyte purity (using preplating times of 15 and 60 min), and ascorbic acid stimulation (1-100 microl/ml). For our optimization studies, we utilized twitch force in response to electrical stimulation as our endpoint metric. Based on these studies, we found that cardioids formed with a plating density in the range 3-4 x 10(6) cells per cardioid generated the maximum twitch force, whereas increasing the surface adhesion protein (using either laminin or fibronectin) and increasing the myocyte purity both resulted in a decrease in twitch force. In addition, increasing the ascorbic acid concentration resulted in an increase in the baseline force of cardioids, which was recorded in the absence of electrical stimulation. Based on the model development studies, we have shown that cardioids do indeed exhibit a gene expression pattern similar to normal mammalian heart muscle. This provides further validity for the cardioid model. Based on the model optimization studies, we have identified specific cell culture regimes which support cardioid formation and function. These results are specific to the cardioid model; however, they may be translated and applied to other tissue-engineering models. Collectively, the work described in this study provides insight into the formation of functional 3D heart muscle and the effect of several cell culture variables on tissue formation and function."
3,18254011,"Nasal continuous positive airway pressure (NCPAP) is used to support preterm infants recently extubated, those experiencing significant apnoea of prematurity and those with respiratory distress soon after birth as an alternative to intubation and ventilation. This review focuses exclusively on identifying the most effective pressure source and interface for NCPAP delivery in preterm infants."
4,21480395,"Tobacco is notably genotoxic and associated with head and neck carcinogenesis. Cigarette carcinogens have the capacity to alter early response gene expression in tobacco-related malignancies via genes such as nuclear factor kappa B (NFκB). A number of early response gene activation events are also facilitated by fos/jun activator protein 1 (AP-1) associated pathways. In the present study, we hypothesize that tobacco products may induce microenvironment alterations, promoting angiogenesis and providing a permissive environment for head and neck cancer progression. In an in vitro analysis, we employed immortalized oral keratinocyte (HOK-16B) and laryngeal squamous carcinoma (UM-SCC-11A) cells to investigate interleukin (IL)-8 and vascular endothelial growth factor (VEGF) induction by cigarette smoke condensate (CSC). IL-8 and VEGF expression is based on interactions between NFκB, AP-1, and NF-IL6. We identified at least 1.5-fold dose-dependent induction of AP-1, VEGF, and IL-8 promoter/reporter gene activity after 24 h exposure to CSC. Next, we stably transfected UM-SCC-11A cells with A-Fos, a dominant negative AP-1 protein. Treatment with CSC of the A-Fos cell lines compared to empty vector controls significantly down-regulated AP-1, VEGF, and IL-8 promoter/reporter gene expression. We also performed ELISAs and discovered significant up-regulation of IL-8 and VEGF secretion by UMSCC 11A after treatment with phorbol 12-myristate 13-acetate, tumor necrosis factor alpha, and CSC, which was down-regulated by the A-Fos dominant negative protein. We conclude tobacco carcinogens up-regulate AP-1 activity and AP-1 dependent IL-8 and VEGF gene expression in head and neck cancer. This up-regulation may promote an angiogenic phenotype favoring invasion in both premalignant and squamous cancer cells of the head and neck."
5,23070062,Individuals with serious mental illness have elevated rates of comorbid chronic general medical conditions and may benefit from interventions designed to support illness self-management. This study examined the effectiveness of a modified version of the Chronic Disease Self-Management Program called Living Well for individuals with serious mental illness.
6,24182692,"There is not much level 1 evidence based literature to guide management of hypertrophic scars and keloids despite an array of therapeutic modalities at disposal. Intralesional (i/l) triamcinolone injections have remained a gold standard in non surgical management. Sporadic reports on use of i/l verapamil suggest its efficacy. Since verapamil has not found sufficient mention as an effective alternative modality, it was decided to undertake a randomized study which could also address some additional clinical parameters. A randomized, parallel group and observer blinded comparison with 40 patients (48 scars) was carried out to compare the effects of i/l triamcinolone (T) (22 scars) and verapamil injections (V) (26 scars). 1.5 ml was the maximum indicative volume decided in the study protocol for both the drugs (triamcinolone @40 mg/ml and verapamil @ 2.5 mg/ml). Patients included were aged between 15-60 years with scars ranging between 0.5-5 cm (but total area roughly <6 cm(2)), and scars under 2 years duration. Patients with keloidal diathesis were excluded. Injections were scheduled every three weeks until complete flattening of the scar or eight sessions, which ever came earlier. No concomitant therapies like massage, silicone gel or pressure garments were used. Scar evaluation at each stage was done by serial photographic records as well as by Vancouver Scar Scale (VSS). Comparative survival analysis between the two drugs was done using Kaplan Meier curves, and VSS scores were analyzed using Wilcoxon test and log rank test. Mean zero VSS scores were achieved with treatments in respect of scar height (T-12 weeks, V-21 weeks), vascularity (T-15 weeks, V-18 weeks) and pliability (T-15 weeks, V-21 weeks). The improvement in scar vascularity and pliability kept pace with decrease in scar height, in both the groups. There was not much difference in the rate of change of scar pigmentation with either drug but almost 60% patients in both the groups regained normal pigmentation. Our study adds to evidence of verapamil's capability in flattening the raised scars. With an extremely low cost and fewer adverse effects it deserves better positioning in the wide armamentarium against hypertrophic scars. It also offers several therapeutic possibilities to alternate with triamcinolone or be used simultaneously in larger (or multiple) scars."
7,24654939,To analyze the effect of various coating formulations on the mechanical and corrosion properties of nickel-titanium (NiTi) orthodontic wires.
8,24654941,To evaluate the short- and long-term treatment results of rapid maxillary expansion (RME) and surgical assistance during maxillary protraction with a facemask (FM).
9,24399641,Psychological and educational interventions have been used as an adjunct to conventional therapy for children with atopic eczema to enhance the effectiveness of topical therapy. This is an update of the original Cochrane review.
